Name, Age, Gender, Nationality, Type of Arts, Phone Number, Group
Byamasu Patrick,24, Male, Congolese, Programmer,996668149, Group 1
Amani Yao,25, Male, Congolese, Programmer,996668149, Group 1
Yemulanzi Byamasu,29, Male, Rwandese, Driver,996668149, Group 2
Remy Gakwaya,28, Male, Congolese, Programmer,996668149, Group 2
Mike Mankenda,24, Male, Congolese, Designer,996668149, Group 1
John Kalula,26, Male, Congolese, Programmer,996668149, Group 3
Francoise Luhembwe,20, Female, Congolese, Programmer,996668149, Group 3
Timothy Patrick,25, Male, Malawian, Computer Engineer,996668149, Group 3
Paul Patrick,21, Male, Congolese, Software Engineer,996668149, Group 2
Billy Paul,22, Male, Congolese, Programmer,996668149, Group 1
